name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town
Greymouth Family Dental Centre | Lumino The Dentists,"40 Tainui Street, Greymouth 7805, New Zealand",03 768 6243,+64 3 768 6243,https://lumino.co.nz/dentists/family-dental-centre-greymouth/?utm_source=google_business_profile&utm_medium=organic,4.7,13,OPERATIONAL,https://maps.google.com/?cid=12335065779227543131&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Monday: 8:00 AM – 1:00 PM, 2:00 – 5:00 PM; Tuesday: 8:00 AM – 1:00 PM, 2:00 – 5:00 PM; Wednesday: 8:00 AM – 1:00 PM, 2:00 – 5:00 PM; Thursday: 8:00 AM – 1:00 PM, 2:00 – 5:00 PM; Friday: 8:00 AM – 1:00 PM, 2:00 – 5:00 PM; Saturday: Closed; Sunday: Closed",dental_clinic,West Coast,Greymouth
COAST SMILES DENTAL & DENTAL SPA,"28 Johnston Street, Greymouth 7805, New Zealand",03 399 3768,+64 3 399 3768,http://www.coastsmilesdentalspa.nz/,4.8,438,OPERATIONAL,https://maps.google.com/?cid=6082379828443194135&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: Closed,dental_clinic,West Coast,Greymouth
Garry Rae Dental Greymouth | Lumino The Dentists,"140 MacKay Street, Greymouth 7805, New Zealand",03 768 6717,+64 3 768 6717,https://lumino.co.nz/dentists/garry-rae-dental-greymouth/?utm_source=google_business_profile&utm_medium=organic,4.5,21,OPERATIONAL,https://maps.google.com/?cid=15764414591835748325&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 4:30 PM; Tuesday: 8:30 AM – 4:30 PM; Wednesday: 8:30 AM – 4:30 PM; Thursday: 8:30 AM – 4:30 PM; Friday: 8:30 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,West Coast,Greymouth
Duchenne Dental Services,"38 Albert Street, Greymouth 7805, New Zealand",03 768 6243,+64 3 768 6243,http://www.duchenne.co.nz/,5,1,OPERATIONAL,https://maps.google.com/?cid=17001473565416416626&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,West Coast,Greymouth
Dr Guy Margetts,"38 Albert Street, Greymouth 7805, New Zealand",03 768 6242,+64 3 768 6242,,5,1,OPERATIONAL,https://maps.google.com/?cid=4959825917213480747&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Monday: 9:00 AM – 1:00 PM, 2:00 – 5:00 PM; Tuesday: 9:00 AM – 1:00 PM, 2:00 – 5:00 PM; Wednesday: 9:00 AM – 1:00 PM, 2:00 – 5:00 PM; Thursday: 9:00 AM – 1:00 PM, 2:00 – 5:00 PM; Friday: 9:00 AM – 1:00 PM, 2:00 – 4:00 PM; Saturday: Closed; Sunday: Closed",needs_verification,West Coast,Greymouth
Westport Dental Clinic,"6 Bentham Street, Westport 7825, New Zealand",03 789 8901,+64 3 789 8901,https://kawatirihealth.co.nz/dental/,3.4,8,OPERATIONAL,https://maps.google.com/?cid=10848707967410968238&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,West Coast,Westport
Hoki Dental,"18 Revell Street, Hokitika 7810, New Zealand",03 222 5030,+64 3 222 5030,http://www.hokidental.co.nz/,4.7,26,OPERATIONAL,https://maps.google.com/?cid=8231699531250143515&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 4:30 PM; Tuesday: 9:00 AM – 4:30 PM; Wednesday: 9:00 AM – 4:30 PM; Thursday: 9:00 AM – 4:30 PM; Friday: 9:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,West Coast,Hokitika
Franz Josef Clinic,"59 Cron Street, Franz Josef / Waiau 7886, New Zealand",0800 282 926,+64 800 282 926,,5,2,OPERATIONAL,https://maps.google.com/?cid=16292824149086163656&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,needs_verification,West Coast,Franz Josef / Waiau
